,년월,성별,세종특별자치시,조치원읍,연기면,연동면,부강면,금남면,장군면,연서면,전의면,전동면,소정면,한솔동,새롬동,도담동,아름동,종촌동,고운동,소담동,보람동,대평동,다정동
0,201701,남자,121937,23529,1463,1828,3554,5033,3427,4182,3312,2124,1464,17376,0,15108,24906,14631,0,0,0,0,0
1,201701,여자,121988,22496,1217,1751,3150,4606,2819,3721,3095,1801,1369,18184,0,16230,25959,15590,0,0,0,0,0
2,201702,남자,123257,23526,1463,1817,3555,5039,3451,4211,3314,2125,1463,10982,0,15256,12084,14773,12896,0,7302,0,0
3,201702,여자,123344,22495,1221,1741,3126,4578,2830,3738,3088,1792,1359,11544,0,16383,12554,15836,13492,0,7567,0,0
4,201703,남자,124996,23534,1462,1822,3529,5044,3476,4208,3313,2127,1458,11003,0,15355,12102,14802,12829,0,8932,0,0
5,201703,여자,125151,22488,1220,1728,3118,4569,2841,3738,3075,1793,1355,11557,0,16528,12553,15871,13459,0,9258,0,0
6,201704,남자,126434,23486,1456,1822,3527,5041,3504,4203,3290,2113,1465,11915,0,15462,12039,14767,12781,0,9563,0,0
7,201704,여자,126655,22426,1203,1717,3114,4545,2846,3729,3061,1781,1349,12596,0,16638,12484,15837,13438,0,9891,0,0
8,201705,남자,128970,23321,1470,1813,3516,5014,3502,4185,3290,2116,1460,14579,0,15434,11946,14668,12724,0,9932,0,0
9,201705,여자,129168,22321,1213,1707,3079,4513,2816,3714,3043,1780,1345,15253,0,16596,12376,15740,13378,0,10294,0,0
10,201706,남자,130891,23203,1471,1809,3503,4961,3510,4207,3297,2118,1455,16522,0,15388,11934,14617,12765,0,10131,0,0
11,201706,여자,131163,22244,1207,1691,3052,4478,2824,3732,3049,1779,1349,17283,0,16563,12330,15655,13410,0,10517,0,0
12,201707,남자,132403,23201,1479,1809,3498,4964,3511,4195,3297,2113,1449,17703,0,15497,11946,14650,12791,0,10300,0,0
13,201707,여자,132660,22251,1195,1695,3023,4493,2830,3707,3039,1779,1344,18511,0,16684,12344,15667,13391,0,10707,0,0
14,201708,남자,133876,23196,1494,1794,3506,4956,3498,4194,3275,2100,1450,18535,0,15592,11974,14705,12789,0,10818,0,0
15,201708,여자,134213,22239,1193,1678,3017,4485,2833,3704,3036,1768,1342,19447,0,16730,12392,15717,13409,0,11223,0,0
16,201709,남자,135017,23217,1505,1798,3487,4915,3507,4185,3267,2097,1455,19355,0,15649,11997,14742,12815,0,11026,0,0
17,201709,여자,135346,22193,1201,1669,3019,4477,2819,3708,3039,1763,1348,20319,0,16753,12399,15740,13439,0,11460,0,0
18,201710,남자,136355,23154,1517,1787,3475,4895,3507,4210,3263,2096,1453,9771,10347,15686,12019,14723,12815,0,11637,0,0
19,201710,여자,136687,22156,1204,1661,3004,4468,2837,3717,3027,1763,1346,10165,10947,16792,12390,15726,13437,0,12047,0,0
20,201711,남자,137747,23061,1501,1780,3455,4883,3514,4206,3252,2089,1447,9786,10852,15699,11984,14705,12845,0,12688,0,0
21,201711,여자,138076,22118,1200,1648,2982,4462,2819,3694,3013,1758,1343,10204,11484,16770,12360,15724,13461,0,13036,0,0
22,201712,남자,139207,23033,1515,1769,3457,4850,3499,4197,3243,2094,1454,9799,11298,15738,11991,14723,12847,0,13700,0,0
23,201712,여자,139839,22068,1208,1648,3005,4448,2803,3678,3012,1765,1345,10214,11982,16779,12418,15777,13491,0,14198,0,0
24,201801,남자,140719,22996,1519,1758,3455,4837,3483,4206,3256,2073,1447,9810,11706,15776,12056,14755,12922,0,14664,0,0
25,201801,여자,141417,22047,1198,1646,3001,4442,2799,3677,3005,1765,1343,10232,12397,16857,12460,15806,13545,0,15197,0,0
26,201802,남자,143061,22934,1525,1740,3451,4821,3464,4202,3241,2061,1435,9789,13227,15838,12084,14786,12970,0,15493,0,0
27,201802,여자,143943,22018,1198,1636,2991,4439,2788,3654,2991,1755,1334,10224,14037,16921,12429,15846,13623,0,16059,0,0
28,201803,남자,144707,23004,1516,1730,3423,4800,3442,4213,3229,2053,1431,9728,14603,15788,12088,14733,12960,0,15966,0,0
