,년월,성별,연령대,세종특별자치시,조치원읍,연기면,연동면,부강면,금남면,장군면,연서면,전의면,전동면,소정면,한솔동,새롬동,도담동,아름동,종촌동,고운동,소담동,보람동,대평동,다정동
0,201701,남자,(0~9세),17864,2525,56,87,235,263,132,222,194,67,89,3185,0,2633,5273,2903,0,0,0,0,0
1,201701,남자,(10~19세),13917,2473,93,123,287,287,199,328,285,97,126,2466,0,1930,3370,1853,0,0,0,0,0
2,201701,남자,(20~29세),13463,3461,220,210,472,616,540,532,403,245,190,1760,0,1569,1963,1282,0,0,0,0,0
3,201701,남자,(30~39세),22372,3783,176,228,505,620,510,526,392,225,170,3364,0,3111,5463,3299,0,0,0,0,0
4,201701,남자,(40~49세),23665,4126,263,247,588,767,574,616,520,289,273,3790,0,3218,5369,3025,0,0,0,0,0
5,201701,남자,(50~59세),15288,3393,296,368,650,1013,648,770,642,488,264,1833,0,1573,2016,1334,0,0,0,0,0
6,201701,남자,(60~69세),8922,2131,203,318,396,814,451,637,431,385,184,662,0,666,1042,602,0,0,0,0,0
7,201701,남자,(70~79세),4631,1214,112,156,290,454,258,372,292,230,113,245,0,305,325,265,0,0,0,0,0
8,201701,남자,(80~89세),1683,389,38,87,124,181,111,172,145,92,50,62,0,90,76,66,0,0,0,0,0
9,201701,남자,(90~99세),132,34,6,4,7,18,4,7,8,6,5,9,0,13,9,2,0,0,0,0,0
10,201701,남자,(100세_이상),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,201701,여자,(0~9세),17255,2386,61,102,235,240,146,238,184,53,92,3152,0,2515,4939,2912,0,0,0,0,0
12,201701,여자,(10~19세),13513,2378,75,85,253,272,177,239,256,90,139,2473,0,1905,3293,1878,0,0,0,0,0
13,201701,여자,(20~29세),13188,2950,148,187,341,480,415,373,309,156,142,1899,0,2016,2291,1481,0,0,0,0,0
14,201701,여자,(30~39세),23558,3356,127,162,325,478,268,383,269,125,135,3982,0,3693,6395,3860,0,0,0,0,0
15,201701,여자,(40~49세),20821,3550,137,178,418,514,325,416,391,193,197,3594,0,3042,5088,2778,0,0,0,0,0
16,201701,여자,(50~59세),14115,3188,226,281,540,814,556,658,496,350,213,1738,0,1550,2108,1397,0,0,0,0,0
17,201701,여자,(60~69세),9251,2227,174,273,440,742,403,554,453,338,164,783,0,807,1149,744,0,0,0,0,0
18,201701,여자,(70~79세),6161,1573,151,239,378,599,321,528,433,254,163,342,0,415,435,330,0,0,0,0,0
19,201701,여자,(80~89세),3555,763,107,209,197,402,184,277,246,218,112,194,0,252,215,179,0,0,0,0,0
20,201701,여자,(90~99세),545,118,11,34,22,62,22,53,58,21,10,26,0,34,44,30,0,0,0,0,0
21,201701,여자,(100세_이상),26,7,0,1,1,3,2,2,0,3,2,1,0,1,2,1,0,0,0,0,0
22,201702,남자,(0~9세),18115,2506,58,85,238,268,133,232,194,64,89,1934,0,2653,2473,2921,2810,0,1457,0,0
23,201702,남자,(10~19세),14197,2493,90,117,288,289,200,324,281,99,127,1805,0,1981,1946,1867,1464,0,826,0,0
24,201702,남자,(20~29세),13461,3462,218,202,467,604,542,531,404,247,188,1053,0,1563,867,1294,1061,0,758,0,0
25,201702,남자,(30~39세),22535,3766,177,233,504,626,529,538,390,222,170,1850,0,3111,2261,3317,3182,0,1659,0,0
26,201702,남자,(40~49세),23999,4112,268,244,583,770,582,620,520,289,270,2641,0,3262,2898,3057,2508,0,1375,0,0
27,201702,남자,(50~59세),15438,3391,289,369,655,1021,641,767,647,490,267,1097,0,1592,1043,1357,1007,0,805,0,0
