date,kosave,kosave_quant,kosave_amt,mmc,cma,bc,ar,wti,unsoldapt,apt,tr_bond,loan_apt,cd,houseloan_county,houseloan_seoul,cash_cur,deli_ratio,termdepo,interrate_call,interrate_kb,bsi,cpi_month,cpi_jeon,cpi_total,ppi_realestate,ppi_buildlease,ppi_total,unemprate,cci,cli,SPI
2007-01-01,1379.25,192731575,2582501187,57223.2,3873.9,112303.8,1780,54.51,697,4386,4.97,8.12,4.92,143560.4,100552.3,20677.7,0.8,449295.9,4.63,4.5,105.9,84.114,75.314,77.573,84.8,89.04,86.54,4.8,68.2,72,75.32
2007-02-01,1434.89,230584554,3353641271,56450.2,3867.6,114057.2,2019.1,59.28,590,3759,4.91,11.67,4.95,144021.6,100855.7,20690,0.9,451327.1,4.6,4.5,113.1,84.198,75.536,77.725,84.88,89.21,86.59,4.6,68.7,72.3,75.21
2007-03-01,1431.62,276749496,3149139880,52342.6,4214.3,117768.3,2492,60.44,687,5463,4.79,7.88,4.94,143788.4,100845.4,21296.6,0.8,452615.8,4.6,4.5,113.7,84.282,75.683,77.878,85.04,89.39,86.96,4.2,69.5,72.5,75.92
2007-04-01,1517.12,373783291,4472297898,50004.8,4044.2,116494.6,2590.4,63.98,685,4445,4.94,9.63,4.95,144060,100608.4,20923.8,0.8,456907,4.69,4.5,115.3,84.282,75.904,78.031,85.31,89.56,87.57,4.2,70.3,72.8,75.36
2007-05-01,1614.94,416322121,5060726750,48075.5,3978.6,119064.5,2475.5,63.46,704,3608,5.1,8.22,5.04,143882.3,99516.3,20833,0.9,461735.9,4.61,4.5,114.6,84.451,76.126,78.259,85.4,89.65,88.06,3.9,70.9,73.1,74.34
2007-06-01,1754.28,501984937,7316801417,49468.3,4156.7,124979.4,2289.5,67.49,778,5000,5.24,9.51,5.03,144108.6,99351.6,20884.1,0.6,465644.9,4.54,4.5,113.3,84.534,76.199,78.336,85.4,89.74,88.24,3.7,71.1,73.6,75.93
2007-07-01,1911.56,491601779,7629429713,51145.8,4175.1,131212.3,2273.3,74.12,840,5766,5.35,12.92,5.05,144627.4,99003.5,20994.1,0.7,467238.9,4.67,4.75,115,84.534,76.273,78.412,85.56,89.74,88.35,3.9,71.5,74.1,76.6
2007-08-01,1815.02,391923716,6189490662,51504.4,4117.6,139587.4,2245.8,72.36,730,4890,5.28,4.72,5.21,145747.4,98846.1,21013.5,0.8,468413.3,4.92,5,117.6,84.618,76.421,78.565,85.66,89.91,88.3,3.9,71.9,74.4,77.08
2007-09-01,1879.03,410476573,5669445490,51545.5,4176.8,144599.6,2000.2,79.92,724,4471,5.39,7.84,5.34,145921,98683.7,21072.1,0.7,467340.1,4.98,5,116.6,84.871,76.495,78.642,85.78,90,88.72,3.8,72.4,74.7,77.22
2007-10-01,2004.55,439936173,8236418977,52417.1,4316.5,152831.1,2270.5,85.8,977,6564,5.42,7.01,5.34,147286.1,98712.3,21375.5,0.7,466256.2,5,5,115.2,84.954,76.569,78.718,85.79,90.08,88.9,3.9,72.9,74.8,77.66
2007-11-01,1924.84,335760995,7290704164,52730.8,4229.1,168763,2324.9,94.77,1081,5411,5.54,10.3,5.43,148464.3,98990.5,21258.5,0.7,466906.9,5,5,114.3,85.458,76.864,79.1,85.94,90.34,89.27,4,73.3,75.1,77.49
2007-12-01,1903.99,302879055,5295404612,51317.8,4458.9,177905.5,2288.8,91.69,454,5249,5.89,10.92,5.73,163372.6,107469.2,21360.9,0.6,473321.2,4.99,5,111.2,85.626,77.086,79.252,86.02,90.43,89.63,4.1,74,75.3,77.65
2008-01-01,1732.29,287741358,5506422742,48107.4,4461.1,188397.1,2366.3,92.97,524,5869,5.44,14.37,5.81,163223.8,107433.5,21026.3,0.7,484291.4,4.99,5,111.5,85.793,77.233,79.405,86.91,91.65,90.13,4.2,74.2,75.4,78.57
2008-02-01,1689.53,320754131,4688595999,54717.5,4234.2,193061.8,2166.6,95.39,788,6713,5.06,10.22,5.28,164072.1,106294.4,21575.9,0.8,499404.4,4.97,5,114.1,86.046,77.455,79.634,86.93,91.73,90.97,4.5,74.4,75.2,79.7
2008-03-01,1651.15,289602343,4818747917,58386.6,4440.8,196652.2,1990.6,105.45,799,10722,5.15,13.35,5.25,165192.6,106393.8,21690.2,0.6,504995.9,4.97,5,106.4,86.297,77.676,79.862,87.17,91.91,92.15,4.1,74.5,75.2,81.6
2008-04-01,1776.58,292315088,5732962154,57425.2,4705,198737.6,1966.2,112.58,764,9202,4.98,16.04,5.38,166904.7,107235.2,21802.5,0.7,509008.6,4.99,5,107.9,86.549,77.972,80.168,87.53,92.08,94.11,3.9,74.6,75.2,83.42
2008-05-01,1846.75,311960073,5966084629,61873.9,4988,201918.7,1909,125.4,1016,7437,5.28,17.54,5.36,168457.5,107892.2,22015.2,0.7,514551.3,4.97,5,103.1,87.053,78.193,80.473,87.7,92.17,96,3.7,74.8,75.3,84.12
2008-06-01,1758.17,315780785,4665795082,63448.9,4775.7,202308.2,1920,133.88,1090,5619,5.7,13.29,5.36,170209.7,108322.4,22052.5,0.5,516794.5,4.95,5,97.6,87.388,78.415,80.703,87.76,92.17,97.54,3.8,75,75.3,84.48
2008-07-01,1569.6,295971066,4763335992,61018.1,4772.8,204208.5,1931.5,133.37,1437,3302,5.96,10.17,5.52,171704.7,109336.9,22037.5,0.6,519412.3,4.98,5,91.8,87.557,78.71,81.008,88.02,92.34,99.44,3.8,75.4,75.3,83.64
2008-08-01,1537.55,239367091,3833566918,59960.8,4121.6,204354.7,1942.8,116.67,1491,2386,5.77,8.08,5.77,172891.6,109710.9,22151.5,0.7,524217.1,5.22,5.25,101,87.724,78.858,81.161,88.1,92.43,99.16,4.1,75.8,75.4,83.75
2008-09-01,1446.56,393676579,5556089457,55808.9,3881.2,201137.5,1912.6,104.11,1530,1849,5.81,9.44,5.79,173898.6,110055.4,22541.1,0.6,530950.6,5.22,5.25,96.5,87.808,79.006,81.237,88.46,92.69,98.75,3.7,76.1,75.5,81.97
2008-10-01,1201.7,458316719,5867955118,51522.8,4035.8,195178.8,1552,76.61,1981,1519,5.09,4.38,6.03,174633.7,110207.2,22618.3,0.7,542519.2,4.88,4.25,79.4,88.06,79.227,81.466,88.54,92.95,98.49,3.7,76.4,75.5,78.43
2008-11-01,1073.95,560166441,5584304700,52572.2,4247.3,190880.7,1579,57.31,2263,1163,4.97,2.35,5.62,175537.2,110702.3,22852.4,0.7,556997.6,4,4,66.7,88.312,79.375,81.695,88.56,93.12,96.2,3.8,75.9,75.4,73.93
2008-12-01,1114.9,496851178,5223060030,53825.9,4026.9,187642.7,1628.6,41.12,2486,1523,3.97,1.65,4.68,175903.4,111182.1,23020.2,0.6,568936,3.27,3,55.5,88.396,79.523,81.772,88.57,93.3,94.58,3.9,74.2,75.4,69.84
