date,kosave,kosave_quant,kosave_amt,bc,ar,unsoldapt,tr_bond,loan_apt,cd,houseloan_county,houseloan_seoul,cash_cur,deli_ratio,termdepo,interrate_call,interrate_kb,cpi_jeon,cpi_total,ppi_realestate,ppi_buildlease,cci,cli,SPI
2013-01-01,1986.1,495654538,4434353297,144956.7,1567.9,3415,2.75,440.43,2.86,200072.2,125883.7,44121.4,1,883814.7,2.76,2.75,91.412,93.09,96.46,98.1,93.3,89.1,74.48
2013-02-01,1979.85,384608603,3674863781,146954.1,1558.3,3308,2.7,839.76,2.83,199441.8,125338.6,44663.1,1,883161.2,2.75,2.75,91.658,93.318,98.19,98.22,93.6,89.4,74.78
2013-03-01,1990.24,342831485,3830684225,149050.3,1435.2,3168,2.6,940.27,2.81,199090.2,125078.4,46001.9,1,881062.7,2.74,2.75,91.986,93.613,98.22,98.29,94.3,89.7,75.42
2013-04-01,1938.88,349743992,4358558297,155254.8,1408.7,3035,2.55,1745.47,2.8,199239.5,124678.2,47324.3,1,877119.5,2.75,2.75,92.315,93.891,98.05,98.16,95,90.1,75.64
2013-05-01,1974.45,313666214,4220941937,160391.1,1382.2,2908,2.59,1869.58,2.72,200043.2,125056.8,47892,1,874704.4,2.55,2.5,92.561,94.102,98.57,98.22,95.3,90.4,75.73
2013-06-01,1884.41,295025329,4104743494,160456.2,1284.6,2722,2.87,2351.92,2.69,201007.4,125500.5,48606.6,0.9,870759.9,2.49,2.5,92.807,94.288,98.29,98.34,95.6,90.9,75.36
2013-07-01,1871.77,330598290,3642652782,162712.3,1325,2581,2.91,846.7,2.68,201256.2,125437.8,49349.4,0.9,865229.4,2.48,2.5,92.971,94.44,98.16,98.54,95.7,91.3,75.3
2013-08-01,1896.96,335236344,3825979567,161151.2,1318.1,3970,2.94,548.77,2.66,202007.6,125667.6,50005.4,1,866274.6,2.5,2.5,93.217,94.71,98.29,98.69,95.8,91.7,75.55
2013-09-01,1984.39,282506538,4461010541,157272.4,1311.8,4331,2.9,315.46,2.66,201617.4,125556.5,50564.3,0.9,870510.5,2.5,2.5,93.381,94.887,98.13,98.86,95.8,91.9,76.36
2013-10-01,2029.68,271655960,4243697758,154688.8,1326,3808,2.83,434.05,2.66,202438.9,126081,51554.5,0.9,871823.2,2.5,2.5,93.628,95.089,98.33,98.85,96.1,92.4,76.59
2013-11-01,2009.92,290660045,3694007340,152245.9,1331.1,3568,2.936,400.93,2.65,203133.6,126408.4,52220.9,0.9,870486.8,2.5,2.5,93.792,95.208,98.38,98.92,96.6,92.8,76.4
2013-12-01,1988.33,230173810,3437431296,151575.3,1373.6,3157,2.941,363.58,2.65,203601.7,127035.2,52794.2,0.7,872175.3,2.5,2.5,94.12,95.469,98.46,98.93,96.8,93.2,75.77
2014-01-01,1948.22,254748238,3880111935,152919.9,1367.8,2905,2.892,189.57,2.65,202891.1,126949.9,53544.9,0.7,872660.5,2.5,2.5,94.366,95.705,98.82,99.09,97,93.6,76.69
2014-02-01,1937.73,224111005,3705431718,153383.1,1347.2,2734,2.854,226.98,2.65,204192.4,127728.2,55119,0.8,873942.6,2.49,2.5,94.776,96.018,100.01,99.11,97.1,93.9,77.25
2014-03-01,1952.43,236658672,3674999850,151776.2,1318.7,2259,2.874,314.82,2.65,204754,128438.2,55030.8,0.7,878643.4,2.48,2.5,95.105,96.279,99.62,99.1,97.2,94.1,77.58
2014-04-01,1991.19,213177067,3573378127,151997.1,1315.5,2185,2.875,713.04,2.65,204805.3,128399.9,55811.6,0.7,879701.4,2.49,2.5,95.597,96.667,99.66,99.12,97,94.4,77.31
2014-05-01,1994.13,225558747,3665502933,152938.9,1292.9,2241,2.838,1243.11,2.65,205503.2,128903.2,56577.4,0.7,878860.7,2.49,2.5,95.761,96.785,99.92,99.21,97.1,94.7,77.12
2014-06-01,1995.08,242214970,3927661038,151902.9,1318.7,2601,2.746,1940.66,2.65,206691.8,129784.1,57439.4,0.6,881299.3,2.48,2.5,96.007,96.979,99.95,99.2,97.1,95,77
2014-07-01,2021.95,303607891,4034403266,154769.3,1382.4,2492,2.558,1956.91,2.65,208293.8,130921.4,58272.4,0.7,885324.7,2.49,2.5,96.171,97.098,99.84,99.38,97.3,95.2,77.3
2014-08-01,2060.93,304076746,4124629502,152451.2,1362.9,2362,2.54,2190.81,2.52,209866.3,131869.6,59296.8,0.7,884557.6,2.34,2.25,96.335,97.216,99.99,99.39,97.8,95.5,78.3
2014-09-01,2042.71,344312753,4234643897,151766.1,1391.4,1797,2.405,2137.56,2.35,211558.6,133147.8,60344.1,0.6,880546.7,2.23,2.25,96.582,97.418,99.92,99.42,98.1,96,79.05
2014-10-01,1942.8,351879969,4462668374,156118.7,1407.6,1724,2.239,3600.39,2.21,213996.4,134970.1,60986.4,0.6,880859.4,2.06,2,96.828,97.629,100.15,99.46,98.3,96.4,79.42
2014-11-01,1959.65,314832830,4651545932,160175.7,1404.1,1522,2.138,3892.46,2.14,216254.4,136373.7,62005.7,0.6,883476.8,1.98,2,97.238,97.933,100.11,99.63,98.5,96.8,79.45
2014-12-01,1941.93,319661035,3891322356,161834.9,1410.2,1356,2.143,4156.64,2.13,217982,137629,63642.7,0.5,886820.3,1.99,2,97.484,98.118,100.1,99.62,99.2,97.1,79.32
2015-01-01,1920.99,325991,4409964,161560.8,1398.7,1497,2.04,2443.09,2.13,218276.2,138052.9,64548.7,0.5,881397.3,1.99,2,98.25,98.91,100.48,99.95,99.3,97.7,79.78
2015-02-01,1961,347844,4522664,159831.6,1335.6,1238,2.02,3659.9,2.12,219526.8,139228.2,67720.5,0.6,876609.3,1.99,2,98.48,99.03,101.88,100.04,99.3,98.1,80.42
2015-03-01,2012.62,386901,5057306,161938.1,1264.9,1064,1.87,3661.15,1.95,222200.6,141060.9,67383.6,0.5,875125.6,1.83,1.75,98.71,99.17,102.02,100.07,99.2,98.7,81.33
2015-04-01,2107.27,526493,6586617,163043.3,1142.3,987,1.74,7144.67,1.81,225540,143806.2,67571.8,0.5,876151.9,1.73,1.75,99.1,99.43,100.61,100.12,99.4,99.2,82.05
2015-05-01,2114.9,410490,5881451,164157,1115.2,976,1.88,7241.74,1.8,226020.3,143928.8,68774.8,0.5,875344.1,1.74,1.75,99.45,99.67,99.16,100.13,99.3,99.7,82.68
2015-06-01,2063.69,417031,5950963,164007.9,1121.2,638,1.77,9332.75,1.7,223362.3,140432.2,68952.6,0.4,878704.4,1.57,1.5,99.79,99.88,99.15,100.19,99.1,99.9,83.13
2015-07-01,2058.03,581403,6791214,170292.5,1102,482,1.78,4979.43,1.65,224570.6,141387.3,69810.3,0.5,880189,1.48,1.5,100.14,100.09,99.27,100.2,99.8,100.2,84.14
2015-08-01,1952.55,418444,5797346,172481.1,1046.8,317,1.74,2993.61,1.64,227245.5,143353.1,70743,0.5,881068.3,1.49,1.5,100.55,100.32,99.39,99.75,100.4,100.5,84.84
2015-09-01,1939.58,502577,4935388,175831.9,998.4,251,1.65,2270.51,1.6,229412.7,145157.6,72715.6,0.4,883601,1.48,1.5,100.89,100.54,99.19,99.8,100.9,101.1,85.41
