date,kosave,kosave_quant,kosave_amt,bc,ar,unsoldapt,tr_bond,loan_apt,cd,houseloan_county,houseloan_seoul,cash_cur,deli_ratio,termdepo,interrate_call,interrate_kb,cpi_jeon,cpi_total,ppi_realestate,ppi_buildlease,cci,cli,SPI
2007-01-01,1379.25,192731575,2582501187,112303.8,1780,697,4.97,8.12,4.92,143560.4,100552.3,20677.7,0.8,449295.9,4.63,4.5,75.314,77.573,84.8,89.04,68.2,72,75.32
2007-02-01,1434.89,230584554,3353641271,114057.2,2019.1,590,4.91,11.67,4.95,144021.6,100855.7,20690,0.9,451327.1,4.6,4.5,75.536,77.725,84.88,89.21,68.7,72.3,75.21
2007-03-01,1431.62,276749496,3149139880,117768.3,2492,687,4.79,7.88,4.94,143788.4,100845.4,21296.6,0.8,452615.8,4.6,4.5,75.683,77.878,85.04,89.39,69.5,72.5,75.92
2007-04-01,1517.12,373783291,4472297898,116494.6,2590.4,685,4.94,9.63,4.95,144060,100608.4,20923.8,0.8,456907,4.69,4.5,75.904,78.031,85.31,89.56,70.3,72.8,75.36
2007-05-01,1614.94,416322121,5060726750,119064.5,2475.5,704,5.1,8.22,5.04,143882.3,99516.3,20833,0.9,461735.9,4.61,4.5,76.126,78.259,85.4,89.65,70.9,73.1,74.34
2007-06-01,1754.28,501984937,7316801417,124979.4,2289.5,778,5.24,9.51,5.03,144108.6,99351.6,20884.1,0.6,465644.9,4.54,4.5,76.199,78.336,85.4,89.74,71.1,73.6,75.93
2007-07-01,1911.56,491601779,7629429713,131212.3,2273.3,840,5.35,12.92,5.05,144627.4,99003.5,20994.1,0.7,467238.9,4.67,4.75,76.273,78.412,85.56,89.74,71.5,74.1,76.6
2007-08-01,1815.02,391923716,6189490662,139587.4,2245.8,730,5.28,4.72,5.21,145747.4,98846.1,21013.5,0.8,468413.3,4.92,5,76.421,78.565,85.66,89.91,71.9,74.4,77.08
2007-09-01,1879.03,410476573,5669445490,144599.6,2000.2,724,5.39,7.84,5.34,145921,98683.7,21072.1,0.7,467340.1,4.98,5,76.495,78.642,85.78,90,72.4,74.7,77.22
2007-10-01,2004.55,439936173,8236418977,152831.1,2270.5,977,5.42,7.01,5.34,147286.1,98712.3,21375.5,0.7,466256.2,5,5,76.569,78.718,85.79,90.08,72.9,74.8,77.66
